Label,Title,Color,Quadrant,Label,Label,Position on web,Fill pattern,Bubble size,Label,Label,,,,,1. all suppliers should have an individual line,,,,,,,
Supplier,Contaminant,Medium,Topic,Technique/product,Description,TRL level,Type,Internal Stage,(Innovation) project,Responsible,,,,,"2. if a input is not available in the dropdown list, add them in sheet 'dropdown'",,,,,,,
Tectero,PFAS,Water,Destruction,Non-thermal plasma,removal of PFAS in water through NTP,6 - technology demonstrated in relevant environment,Extern,3 - Development,,Pieterjan,,,,,,,,,,,,
Gradiant,PFAS,Water,Destruction,Electrochemical destruction,removal of PFAS from water through EC destruction,5 - technology validated in relevant environment,Extern,2 - Business Plan,,Loic,,,,,,,,,,,,
Regenesis,PFAS,Soil,Immobilisation,Sourcestop,decrease leachability of PFAS in soil,7 - system prototype demonstration in operational environment,Extern,2 - Business Plan,,Emma,,,,,,,,,,,,
JDN,PFAS,Soil,Immobilisation,JDN-additief,decrease leachability of PFAS in soil,7 - system prototype demonstration in operational environment,Extern,4 - Testing,,Emma,,,,,,,,,,,,
JDN,PFAS,Soil,Soil washing,Soil Washing,washing PFAS from soil,9 - actual system proven in operational environment,Intern,5 - Implementation,,Emma,,,,,,,,,,,,
Haemers technology,PFAS,Soil,Thermal treatment,Thermal desorption,Removal of PFAS from soil in containerized system. Direct degradation of desorbed PFAS in the burner flame,6 - technology demonstrated in relevant environment,Extern,1 - Feasibility,,Elien,,,,,,,,,,,,
TreeWell,PFAS,Water,Fytoremediation,Fytoremediation with trees,in situ removal of PFAS from groundwater with willow trees,6 - technology demonstrated in relevant environment,Extern,4 - Testing,3M Zwijndrecht,Evert,,,,,,,,,,,,
JDN,PFAS,Soil,Fytoremediation,Fytoremediation with plants,removal of PFAS from soils with plants,5 - technology validated in relevant environment,Intern,3 - Development,,Emma,,,,,,,,,,,,
C-biotech,PFAS,Soil,Fytoremediation,Hennep fytoremediation,removal of PFAS from soils with hennep,5 - technology validated in relevant environment,Extern,0 - Idea,,Emma,,,,,,,,,,,,
UHasselt,PFAS,Water,Fytoremediation,Floating Wetlands,removal of PFAS from surface water with floating wetlands,4 - technology validate in lab,Extern,0 - Idea,3M Zwijndrecht,Pieterjan,,,,,,,,,,,,
Cornelsen,PFAS,Soil,Immobilisation,Rembind,decrease leachability of PFAS in soil,7 - system prototype demonstration in operational environment,Extern,1 - Feasibility,,Emma,,,,,,,,,,,,
JDN,PFAS,Soil,Soil washing,Static Soil flushing,removal of PFAS by rinsing the soil (in situ vs. Ex situ),6 - technology demonstrated in relevant environment,Extern,4 - Testing,LIFE PFASTER,Pieterjan,,,,,,,,,,,,
JDN,PFAS,Soil,Soil washing,Dynamic Soil flushing,removal of PFAS from soil by washing without separation,6 - technology demonstrated in relevant environment,Intern,4 - Testing,,Emma,,,,,,,,,,,,
ATM,PFAS,Soil,Thermal treatment,Thermal desorption,removal of PFAS from soil in rotary kiln,6 - technology demonstrated in relevant environment,Extern,1 - Feasibility,,Elien,,,,,,,,,,,,
Elementis,PFAS,Water,Adsorption,Hectosorb,removal of PFAS through adsorption on modified organoclay,5 - technology validated in relevant environment,Extern,0 - Idea,,Pieterjan,,,,,,,,,,,,
Lanxess,PFAS,Water,Ion Exchange,Lewatit TP108 en MP62 WS,"removal of PFAS from water through IEX, one time use vs. Regenerated",9 - actual system proven in operational environment,Extern,5 - Implementation,3M Zwijndrecht,Pieterjan,,,,,,,,,,,,
Oxyle,PFAS,Water,Destruction,Oxlight,concentration via FF & destruction via UV of PFAS in water,5 - technology validated in relevant environment,Extern,4 - Testing,test in Hulsdonk,Pieterjan,,,,,,,,,,,,
UAntwerpen,PFAS,Water,Destruction,UV light destruction,destruction of PFAS via catalytic UV,4 - technology validate in lab,Extern,1 - Feasibility,FF-PFAS,Emma,,,,,,,,,,,,
JDN,PFAS,Water,Foam Fractionation,Foam fractionation,Concentration of PFAS via FF,6 - technology demonstrated in relevant environment,Intern,4 - Testing,PFASTER & KIS p-FRESCO,Pieterjan,,,,,,,,,,,,
Claros Tech,PFAS,Water,Destruction,UV light destruction,,,Extern,,,Loic,,,,,,,,,,,,
Amphistar,PFAS,Soil,Soil washing,Amphisclean,supplier of biosurfactants,,,,,,,,,,,,,,,,,
Haley&Aldrich,PFAS,Water,Destruction,Eradifluor,destructruction of PFAS with UV + chemicals,,,,,,,,,,,,,,,,,
Instraction,PFAS,Water,Adsorption,specific resin,removal of PFAS through adsorption on specific resin,4 - technology validate in lab,Extern,1 - Feasibility,,Emma,,,,,,,,,,,,
Purafinity,PFAS,Water,Adsorption,Puratech,removal of PFAS through adsorption on specific resin,,,,,,,,,,,,,,,,,
Desotec,PFAS,Water,Adsorption,Activated carbon,activated carbon,9 - actual system proven in operational environment,Extern,5 - Implementation,all projects with water treatment,Pieterjan,,,,,,,,,,,,
Carbuna,PFAS,Water,Adsorption,Activated carbon,activated carbon,9 - actual system proven in operational environment,Extern,5 - Implementation,all projects with water treatment,Pieterjan,,,,,,,,,,,,
ETC2,PFAS,,,,,,,,,,,,,,,,,,,,,
SCIdev,PFAS,,,,,,,,,,,,,,,,,,,,,
UGent,PFAS,Soil,Analysis,PFAST screening technology,Semi quantitative screening technique for PFAS in soil,5 - technology validated in relevant environment,Extern,1 - Feasibility,KIS PIGGS,Emma,,,,,,,,,,,,
CETCO,PFAS,Soil,Adsorption,Fluorosorb,decrease leachability of PFAS in soil,6 - technology demonstrated in relevant environment,Extern,1 - Feasibility,KIS Insufix (not JDN),Pieterjan,,,,,,,,,,,,
IBA,PFAS,Water,Destruction,Ion Beam destruction,destruction of PFAS via ion beam radiation (technique for sterilizing products),3 - experimental proof of concept,Extern,1 - Feasibility,PFAROS (not JDN),Loic,,,,,,,,,,,,
Ariane Group,PFAS,,Destruction,SWCO,,,,,,,,,,,,,,,,,,
Wienerberger,PFAS,Soil,Thermal treatment,brick production, removal of PFAS from SWP-fines through the brick production process (desorption) and air after treatment,3 - experimental proof of concept,Extern,1 - Feasibility,,Elien,,,,,,,,,,,,
SynergenMet,PFAS,Water,Destruction,foaming + plasma,,,,,,,,,,,,,,,,,,
Aecom,PFAS,Water,Destruction,Electrochemical oxidation,,,,,,,,,,,,,,,,,,
DC Bricks,PFAS,Soil,Thermal treatment,brick production, removal of PFAS from SWP-fines through the brick production process (desorption) and air after treatment,3 - experimental proof of concept,Extern,1 - Feasibility,,Elien,,,,,,,,,,,,
Vandersanden,PFAS,Soil,Thermal treatment,brick production, removal of PFAS from SWP-fines through the brick production process (desorption) and air after treatment,3 - experimental proof of concept,Extern,1 - Feasibility,,Elien,,,,,,,,,,,,
Bio2Clean,PFAS,,,,,,,,,,,,,,,,,,,,,
Holopharm,PFAS,Water,Destruction,Non-thermal plasma,,,,,,,,,,,,,,,,,,
Novobiom,PFAS,Water,Destruction,Fungal destruction,,,,,,,,,,,,,,,,,,
Resourcefull,PFAS,Soil,,,,,,,,,,,,,,,,,,,,
Ecosphere,PFAS,,Fytoremediation,,spinoff van Uantwerpen,,,,,,,,,,,,,,,,,
Sensatec,PFAS,,,,werken met Greensoil samen,,,,,,,,,,,,,,,,,
Ivey International,PFAS,,,Iveysol,,,,,,,,,,,,,,,,,,
Stevenson Process Technology,PFAS,Water,Foam Fractionation,Expertise,Paul Steveson is a professor and expert on foam fractionation.,,,,,,,,,,,,,,,,,
Puragen,PFAS,,Adsorption,,activated carbon,,,,,,,,,,,,,,,,,
Mantisonics,PFAS,,Destruction,Sonolysis,,,,,,,,,,,,,,,,,,
Ecolab,PFAS,,Ion Exchange,,IEX,,,,,,,,,,,,,,,,,
Nuoro,PFAS,,Membrane technology,,construction of the VITO container,,,,,,,,,,,,,,,,,
Elementis,PFAS,Soil,Immobilisation,Hectosorb,decrease leachability of PFAS in soil via modified organoclay,,,,,,,,,,,,,,,,,
Chemviron,PFAS,Water,Adsorption,Activated carbon,activated carbon,9 - actual system proven in operational environment,Extern,5 - Implementation,,Pieterjan,,,,,,,,,,,,
